1,409,0,2.5,0,2.5,75
2,409,2.5,5,0,2.5,75
3,409,5,7.5,0,2.5,75
4,409,0,2.5,2.5,5,75
5,409,2.5,5,2.5,5,75
6,409,5,7.5,2.5,5,75
7,409,0,2.5,5,7.5,75
8,409,2.5,5,5,7.5,75
9,409,5,7.5,5,7.5,75
10,410,7.5,10,0,2.5,75
11,410,10,12.5,0,2.5,75
12,410,12.5,15,0,2.5,75
13,410,7.5,10,2.5,5,75
14,410,10,12.5,2.5,5,75
15,410,12.5,15,2.5,5,75
16,410,7.5,10,5,7.5,75
17,410,10,12.5,5,7.5,75
18,410,12.5,15,5,7.5,75
19,411,15,17.5,0,2.5,75
20,411,17.5,20,0,2.5,75
21,411,20,22.5,0,2.5,75
22,411,15,17.5,2.5,5,75
23,411,17.5,20,2.5,5,75
24,411,20,22.5,2.5,5,75
25,411,15,17.5,5,7.5,75
26,411,17.5,20,5,7.5,75
27,411,20,22.5,5,7.5,75
28,412,22.5,25,0,2.5,75
29,412,25,27.5,0,2.5,75
30,412,27.5,30,0,2.5,75
31,412,22.5,25,2.5,5,75
32,412,25,27.5,2.5,5,75
33,412,27.5,30,2.5,5,75
34,412,22.5,25,5,7.5,75
35,412,25,27.5,5,7.5,75
36,412,27.5,30,5,7.5,75
37,413,30,32.5,0,2.5,75
38,413,32.5,35,0,2.5,75
39,413,35,37.5,0,2.5,75
40,413,30,32.5,2.5,5,75
41,413,32.5,35,2.5,5,75
42,413,35,37.5,2.5,5,75
43,413,30,32.5,5,7.5,75
44,413,32.5,35,5,7.5,75
45,413,35,37.5,5,7.5,75
46,414,37.5,40,0,2.5,75
47,414,40,42.5,0,2.5,75
48,414,42.5,45,0,2.5,75
49,414,37.5,40,2.5,5,75
50,414,40,42.5,2.5,5,75
51,414,42.5,45,2.5,5,75
52,414,37.5,40,5,7.5,75
53,414,40,42.5,5,7.5,75
54,414,42.5,45,5,7.5,75
55,415,45,47.5,0,2.5,75
56,415,47.5,50,0,2.5,75
57,415,50,52.5,0,2.5,75
58,415,45,47.5,2.5,5,75
59,415,47.5,50,2.5,5,75
60,415,50,52.5,2.5,5,75
61,415,45,47.5,5,7.5,75
62,415,47.5,50,5,7.5,75
63,415,50,52.5,5,7.5,75
64,416,52.5,55,0,2.5,75
65,416,55,57.5,0,2.5,75
66,416,57.5,60,0,2.5,75
67,416,52.5,55,2.5,5,75
68,416,55,57.5,2.5,5,75
69,416,57.5,60,2.5,5,75
70,416,52.5,55,5,7.5,75
71,416,55,57.5,5,7.5,75
72,416,57.5,60,5,7.5,75
73,417,60,62.5,0,2.5,75
74,417,62.5,65,0,2.5,75
75,417,65,67.5,0,2.5,75
76,417,60,62.5,2.5,5,75
77,417,62.5,65,2.5,5,75
78,417,65,67.5,2.5,5,75
79,417,60,62.5,5,7.5,75
80,417,62.5,65,5,7.5,75
81,417,65,67.5,5,7.5,75
